DRB	Worcester	PA
40.178	-75.3325
4030	5200
Mon	day	yr	hr	min	sec	EST	PYR-1	PYR-2	T
12	26	12271	17	31	7	0.050463461	0.0495697578	0.0494217606	19.6840968547
10	21	6770	17	35	50	0.0513737885	0.0490102524	0.0495726566	19.8819289419
1	23	12287	3	33	5	0.0495840266	0.0471667784	0.050124062	20.1470905644
4	25	14405	13	5	28	0.0497345038	0.048645908	0.0490403236	19.6048326697
11	4	12014	20	51	4	0.0503166757	0.0484802081	0.0469276534	19.9771913562
11	21	17743	16	22	11	0.0512135058	0.0483394508	0.0521137372	19.645088356
1	31	5697	21	36	23	0.0488136845	0.0503668967	0.0501111207	20.2494859871
11	22	4470	0	30	42	0.0496041627	0.0511294288	0.0519827874	19.8495802427
9	3	4668	11	6	45	0.0500843124	0.0505695757	0.0516179405	20.1908464475
9	26	14928	6	30	57	0.051412041	0.0482050409	0.0479128106	19.8657791244
1	19	12038	4	48	57	0.0494411784	0.0508931934	0.0499045453	19.8314948328
8	17	12625	18	56	30	0.0512874928	0.0505124407	0.050277981	20.0116297179
9	8	2658	11	9	3	0.0494927116	0.0504240508	0.0503542658	19.9683726556
10	26	11011	6	59	4	0.0514319771	0.048254078	0.0507876887	20.2127004212
8	24	8335	23	12	13	0.0509920249	0.0512038037	0.0498153439	19.7889916257
6	30	10824	7	5	59	0.0494355151	0.0489082679	0.0523497861	19.6458175031
10	10	10030	7	18	38	0.0502954001	0.0497303323	0.0513746247	20.2703411761
3	23	7640	9	14	31	0.046978466	0.0504157731	0.050701235	19.6662237557
12	24	18933	3	0	17	0.0488454875	0.0523242586	0.0486518666	19.9458149115
5	6	6531	20	58	20	0.0487549335	0.050542709	0.0498935468	19.6343583082
11	21	17845	12	3	1	0.0495360538	0.0492801389	0.0518783548	20.1698675897
11	10	12841	15	46	5	0.0503089546	0.0504544431	0.0504768152	19.9489173251
7	6	13151	0	9	36	0.0501485688	0.0493673816	0.0466082276	20.3055198576
9	28	8275	17	56	31	0.0499728874	0.0504850505	0.0523898445	19.8070340347
12	26	10412	20	16	43	0.0489691669	0.0511396124	0.0484800985	19.8159610896
9	8	9485	20	53	53	0.0487632478	0.0499939106	0.0500084938	19.950248802
8	9	2727	11	55	13	0.0501293269	0.0490525905	0.0504907565	20.0128074623
8	10	5505	0	50	24	0.0474008658	0.0521924314	0.048961413	19.9080749402
7	31	4266	5	18	47	0.0518549451	0.0504679535	0.0534252629	20.1366288641
11	9	13771	2	13	38	0.0514378993	0.0512056574	0.0495035627	20.0080221225
4	23	15552	2	25	47	0.0505748454	0.0497580691	0.0514453718	20.3399984683
5	31	6141	11	7	16	0.0499320471	0.0503630109	0.0516692701	19.9909354121
2	29	7298	1	48	45	0.0497466997	0.0474367588	0.0485278448	20.0903903738
7	28	8572	15	35	8	0.0512343234	0.0497402741	0.0475506115	20.0624751299
7	29	6126	23	48	44	0.0479693334	0.0516934761	0.0520685663	20.1204803116
5	29	10060	10	51	11	0.0507164734	0.051657329	0.0484608138	19.9052039295
5	23	12854	21	13	50	0.0490716207	0.0491521173	0.04900346	20.0229041162
2	12	5142	13	3	41	0.0494495699	0.0510950781	0.0499916146	20.2368562913
4	4	6212	23	48	17	0.0503643276	0.0513760002	0.0490568901	19.7751481495
7	27	19183	4	26	28	0.0516262964	0.0509346205	0.0495362484	20.0080182642
2	3	4013	5	49	59	0.0460704568	0.0501905824	0.0484759797	19.7460096669
2	30	6164	9	53	5	0.0511707027	0.0478136957	0.0508478773	19.7395041081
9	8	14229	2	26	32	0.0473925716	0.0506080012	0.0504187099	19.9583677933
1	8	17450	21	29	25	0.051795818	0.0498166512	0.0492165376	19.7213248791
8	4	2116	10	17	5	0.0504237443	0.0501555376	0.0505790503	20.0415508984
6	28	17780	5	32	46	0.0472698732	0.0498699687	0.0485021176	20.0304195745
2	2	5264	9	33	1	0.04973419	0.0509904563	0.0504802492	19.8104427072
2	1	18533	6	52	27	0.0497673242	0.0507529386	0.049967804	19.9064354914
7	11	18927	22	46	32	0.0501146176	0.0497881171	0.0502861958	19.7087763987
3	31	19677	11	0	3	0.0491177358	0.0503240247	0.0497800572	20.1885746891
5	13	4329	1	34	32	0.0512431964	0.0466808877	0.0519332953	19.999750457
8	9	10480	9	19	49	0.0509385833	0.0502896448	0.0485685612	20.2171693772
5	22	18542	23	13	6	0.0497815051	0.0486249956	0.0498825328	20.235103765
6	18	2325	4	54	5	0.0500102231	0.0474451791	0.0489393459	20.2035491484
3	5	15744	18	31	56	0.0500837609	0.0493704237	0.0491937237	20.2064989811
1	30	10328	14	27	36	0.0499804289	0.0494639419	0.0503214903	20.1449817639
12	12	11320	23	12	5	0.050027656	0.0512968717	0.0494897005	20.0602708058
1	10	4771	6	20	44	0.0515378506	0.0500029831	0.0514148444	19.9565875692
6	19	6776	15	28	55	0.0508200107	0.0500125034	0.0512358882	19.969123234
2	31	15944	23	38	29	0.0509592443	0.0503480737	0.0490320288	19.943899872
3	7	12857	17	37	34	0.049919085	0.048444164	0.0505563668	19.8847414329
2	3	10452	2	4	25	0.0504895562	0.0503809904	0.0506758251	20.1331978262
10	8	11348	20	8	34	0.0500220109	0.0482068412	0.0512316969	20.2773375656
4	12	19756	2	2	19	0.0496261824	0.0511687337	0.0485720373	20.1036735278
7	15	5418	19	11	33	0.0515794407	0.050405579	0.0528766069	20.2322115783
4	13	14702	22	7	18	0.0517863851	0.0483883473	0.0507306722	19.8240709556
4	7	14858	11	31	52	0.0486534731	0.0488336247	0.0510342416	19.916502625
7	8	8212	5	6	53	0.0505845024	0.0487212216	0.0522869527	19.8516742929
5	7	17211	19	51	53	0.04985653	0.048464685	0.0519866301	19.7726686193
7	32	3591	6	7	40	0.0476114614	0.0516756518	0.0482048127	19.8165163473
12	1	13108	6	43	39	0.0521841489	0.0490752983	0.0512239639	19.397662542
1	13	4191	6	16	25	0.0483994068	0.0500633642	0.0504100705	20.0471504985
4	25	11388	15	3	56	0.0485785409	0.0499320113	0.0498536512	19.9393311494
5	5	15423	23	15	31	0.0494798471	0.0501203336	0.0485043848	19.9268966721
3	11	18326	2	28	44	0.0492504007	0.0505246258	0.0485378018	20.4646719412
10	18	4847	1	5	6	0.0493701037	0.0500589811	0.0505809485	19.8411296847
8	23	6455	12	48	18	0.0516308739	0.048973806	0.0520589659	19.7975932714
10	32	5868	18	51	5	0.051105682	0.0509284212	0.0498706295	19.7450709909
6	17	11863	9	45	5	0.0483990509	0.0512601434	0.0497714745	19.7356244416
4	18	19810	15	43	16	0.0495904277	0.050805824	0.0491897835	20.252755058
5	7	14698	18	49	28	0.0504894289	0.0506021554	0.0503942994	19.97342788
10	21	14186	10	58	36	0.0490942891	0.0506627651	0.04914668	20.2601169939
8	21	5835	2	54	14	0.0512399994	0.0487491673	0.0505934361	19.6736748458
3	23	3803	6	24	39	0.0500447193	0.0499743359	0.04714918	19.9601525131
7	25	2913	18	15	59	0.0499194578	0.0507450274	0.0480163898	20.089855952
11	13	7599	5	35	58	0.0496195556	0.0499381516	0.0480566621	19.9606355301
7	5	3524	5	13	20	0.050216852	0.0511884067	0.0503765616	20.1420963186
10	30	3810	17	9	31	0.0476889	0.0481110012	0.0478636763	20.3108956806
3	29	11666	8	6	21	0.0493851742	0.0494250054	0.0505299684	20.3955456323
4	15	12815	5	12	8	0.0505695854	0.0505585775	0.05179961	20.0325247323
4	25	12330	23	41	6	0.0504052123	0.0504195987	0.0493970969	19.7086699656
11	1	2399	19	36	43	0.0491035883	0.0506765375	0.0498173873	19.4545863416
1	11	5187	0	30	56	0.0510318294	0.0491069005	0.0492380704	20.1220369249
11	25	9687	18	20	5	0.0506079529	0.0498811385	0.0489228395	19.6819313551
2	29	14361	2	34	51	0.0489931217	0.0503169912	0.0514428414	20.1145345406
1	26	10101	4	21	12	0.0477377901	0.0498204028	0.0509202676	19.8013482696
6	26	13859	11	29	5	0.0499349595	0.0499290592	0.049206344	19.8201096886
12	18	4991	20	39	5	0.0511674389	0.0493551765	0.0495400112	20.1204456534
10	8	2409	17	34	13	0.049176383	0.0494114027	0.0507219895	20.1932885617
6	8	2331	23	53	43	0.0494690595	0.0492899209	0.0482075114	20.0536961645
6	15	7552	3	3	20	0.0497455791	0.049289072	0.0507694288	19.8849100692
11	23	18188	13	48	15	0.0488373686	0.0503757186	0.0517780537	20.1044957829
2	22	6774	6	20	28	0.0505190839	0.0497257844	0.0487797535	19.7875406479
5	11	9712	14	43	2	0.0509049251	0.0513354132	0.0508045064	19.8849727594
11	17	11978	5	5	51	0.0486283242	0.0526416873	0.0493394537	19.9962406472
3	25	4729	11	7	12	0.0505546072	0.0522027672	0.0522473143	20.1108267671
3	10	7915	13	26	20	0.0490199486	0.0476774024	0.0499948427	20.4681365913
9	13	3763	16	37	18	0.0487092327	0.050401813	0.0517396992	20.1444514086
11	25	10753	6	24	11	0.0491604037	0.050322608	0.0505693457	19.7130153063
6	31	19937	10	23	9	0.0495115768	0.049452354	0.0496029535	19.9186673502
10	19	15940	21	14	15	0.0490019707	0.0516140749	0.048619921	20.2399114309
10	6	19975	7	52	14	0.0495841106	0.0502703765	0.0501155132	20.2945287657
12	27	12762	13	31	56	0.049135332	0.0482833586	0.0503490828	20.1178366081
1	9	2544	1	53	15	0.0500810286	0.0496845396	0.0507577716	20.4491563228
3	6	8355	12	21	28	0.0499142057	0.0495901823	0.0509646805	20.1776265634
2	18	3020	5	45	31	0.0511331509	0.0501938344	0.0500663135	20.463661251
9	28	5810	12	27	14	0.0487033692	0.0500794516	0.0514803025	20.2403347424
1	30	5453	12	51	43	0.0484459406	0.0489222327	0.0507564049	19.733942367
1	14	11696	11	27	47	0.0503192613	0.0492470843	0.0506186546	19.7899752117
5	16	6372	17	15	37	0.0495459505	0.0502885145	0.0497534336	19.8746667576
11	18	11747	17	16	49	0.0467917889	0.0514429971	0.0490748174	20.0162539065
3	28	6759	5	15	27	0.0507570356	0.049755908	0.0486178605	20.0185658798
7	5	13774	10	41	53	0.050733395	0.0489077357	0.0479659591	20.2135173589
1	8	8116	11	33	18	0.0510623326	0.0499600958	0.0499171112	19.6576858982
7	27	16710	1	57	14	0.0465127537	0.0468797373	0.0499759278	19.9598792891
2	20	9763	18	2	46	0.0499243913	0.0505807941	0.0492596266	19.5866871484
5	20	4817	14	52	45	0.0528846281	0.0508429038	0.0525100874	19.8274235403
4	9	2149	1	7	18	0.0499738356	0.050930074	0.0502132816	20.2841325345
8	28	5788	7	30	49	0.0471945263	0.0476182344	0.0499904515	19.7577081789
6	7	2083	8	17	40	0.0504666383	0.0504909026	0.0485123061	20.1227145788
8	28	18017	0	37	14	0.0506620075	0.0491929408	0.0503399436	19.8678871435
9	18	19547	18	23	22	0.0493677337	0.0507107069	0.0492722515	19.6842216512
2	12	17046	19	55	54	0.0493324687	0.0514499015	0.0520810366	20.6592720744
5	7	19053	6	58	24	0.0489669874	0.0489978404	0.049796603	20.2362569712
2	10	19598	23	44	35	0.0514973051	0.050728317	0.0525625489	20.0404656568
11	22	11717	1	42	16	0.0508841655	0.049719755	0.0490655437	19.6274348373
9	5	4348	15	53	27	0.0496143863	0.0507358947	0.0512285231	20.2000501347
3	28	15146	2	20	38	0.0494684946	0.050524634	0.0466743278	19.517486624
4	22	5212	11	38	38	0.0501108611	0.0503464558	0.0490403487	20.4335274298
11	3	17238	21	14	28	0.0486823499	0.0508407728	0.0499210212	20.2159321279
8	26	4291	6	13	7	0.0497785026	0.0509130643	0.0489312838	20.1192901709
8	24	10655	12	18	59	0.0494120766	0.0481237613	0.0520516955	19.8409139371
4	28	9616	1	39	32	0.0496147446	0.0493774287	0.0495245713	19.971669246
5	15	8618	4	12	2	0.0529516333	0.0498737671	0.0511682788	19.7353489416
5	15	6419	6	39	22	0.0500389527	0.0519405946	0.048454174	19.9566126423
1	10	4998	7	18	3	0.0515595771	0.0520305254	0.0493651148	20.3236573596
6	17	2267	5	17	41	0.0515127567	0.0511819615	0.0521735666	19.8154997124
5	27	18244	19	54	40	0.0496523108	0.0539925012	0.0501404009	19.752585677
11	18	19360	3	35	10	0.0485075876	0.0493056334	0.0502774678	20.0592705229
8	26	2577	19	41	34	0.0516817446	0.048101208	0.0495236637	20.243807462
7	14	6196	8	15	1	0.0483990071	0.0491738696	0.0513908008	20.1277762768
9	16	11740	5	54	13	0.0495290129	0.0502580968	0.0503940951	20.2138486594
12	13	2176	1	5	51	0.0492317623	0.0495512951	0.0505654992	19.8394243595
9	18	3372	6	2	16	0.0509900172	0.0476427643	0.0470980198	20.1227974647
1	14	19766	17	8	22	0.0510677265	0.0495209427	0.0490465246	20.0944884265
11	30	16769	17	46	4	0.0502002053	0.0477027144	0.0511852732	20.0280197546
5	7	5632	17	40	47	0.0503055482	0.0492706371	0.0495691163	20.2772621662
9	28	16802	20	6	49	0.0492419615	0.0493242288	0.0512483094	20.1073081036
12	24	11330	18	32	0	0.0510547338	0.0514578791	0.0510240614	20.1541372919
11	25	13571	9	25	13	0.0501086846	0.0492979737	0.049076503	19.9273950386
7	9	19402	14	16	19	0.0511522649	0.0505792197	0.0506513285	20.1990532063
10	27	13815	23	41	9	0.0492481076	0.0515005478	0.050061146	20.1751995555
9	22	6585	2	50	22	0.0512450991	0.0537340794	0.0504887922	20.0392272846
11	28	8648	14	45	43	0.0477632028	0.0492832959	0.0478889233	20.3219687239
12	21	5803	16	49	6	0.0511773394	0.0519664169	0.0505409256	20.2028819669
4	25	11236	11	54	58	0.0532512303	0.0488676252	0.0485255974	20.0337864184
9	21	18631	10	19	12	0.0512129699	0.049013178	0.0511206674	19.8299869163
8	8	6957	8	23	26	0.0501773872	0.0506670679	0.0483673746	20.4851917209
8	23	10090	3	57	10	0.0519135787	0.0479085456	0.0493161809	20.0210909012
7	20	7249	11	36	39	0.050586071	0.0500727063	0.0519289142	19.7882912973
11	21	5495	15	21	13	0.0508683903	0.0505714424	0.0488132408	19.9899869081
3	3	8982	7	55	16	0.0486801979	0.0480555927	0.0501363884	19.9108992267
10	28	17998	2	38	42	0.0502783309	0.0515224261	0.0507290398	20.2693891473
5	23	9171	6	59	11	0.0510138378	0.0510515201	0.0497250369	20.0964478715
6	3	2602	21	13	6	0.0492274431	0.0499474891	0.051028926	20.306732776
8	1	6527	16	25	41	0.0496727971	0.0498885268	0.0491675922	19.6549941574
9	7	4984	22	35	27	0.0500222953	0.0501406613	0.0507232823	19.8783115783
7	31	12552	4	52	26	0.0483910017	0.0508059471	0.0497694577	20.0921254796
12	12	10746	22	36	32	0.0494511098	0.0470686961	0.0496335609	20.6600663085
7	6	13899	4	9	50	0.0495073237	0.0507597353	0.0502808414	19.814353764
4	30	4833	14	50	53	0.0507444994	0.049713604	0.0490369645	20.0406544009
12	18	15117	2	8	22	0.0505845436	0.0488465589	0.0509197842	19.6618094662
11	32	17938	6	16	59	0.0510722878	0.0527722043	0.0503683497	19.6982963901
4	23	8863	9	32	43	0.0509470953	0.0498855143	0.0502586686	20.0576905477
2	1	14508	10	21	18	0.0498918133	0.0512829282	0.0490625087	20.0599996578
10	9	9387	6	11	16	0.0509840409	0.0518714011	0.0515245852	19.8136038277
11	25	13356	12	43	4	0.0509106156	0.0486912202	0.0492166597	19.845354826
8	14	14043	7	47	41	0.0512246693	0.0501309362	0.0509949244	20.4523307585
7	3	15171	22	53	29	0.0502662642	0.0479473116	0.0513075696	20.0179219913
6	8	10526	0	15	32	0.0481740192	0.0506651375	0.0499968715	20.0052121267
9	12	11169	13	40	44	0.052700696	0.0502214198	0.0504265517	19.6935489944
5	27	17008	15	4	49	0.0496208949	0.0512398083	0.0509990065	20.1207299056
6	32	12922	13	32	31	0.0505812372	0.048490535	0.0498180987	20.0840688741
2	28	8312	14	46	38	0.0478010718	0.0520807361	0.0497816228	19.8651638084
8	22	19566	21	54	37	0.0519604422	0.0511137507	0.0499146313	20.0881614043
12	22	18097	5	31	3	0.0521421607	0.0500779416	0.0487369089	19.8948233038
4	15	13846	4	32	14	0.0503439085	0.0483037161	0.0496934098	19.8948489747
8	24	13985	11	29	0	0.0504861585	0.0514244089	0.0485738166	19.7479475319
5	11	14972	4	45	33	0.0481303046	0.0491502326	0.0503902561	20.3487330242
9	16	16918	6	27	23	0.0500699757	0.0504922345	0.0487818404	19.6748037105
